,simulator,obstacles,agents,timestep,interval,rate,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c
0,online,90.0,10.0,1.0,0.0,0.2,7.787,0.023532242335,heuristic,proposed,0.020469980960999997,7.934,1.721,1.988,79.102,1.751,inf,inf,0.0
1,online,90.0,10.0,1.0,0.0,0.4,5.661,0.023780284266999997,heuristic,proposed,0.020002741548000004,9.491,1.686,1.896,94.214,1.764,inf,inf,0.0
2,online,90.0,10.0,5.0,0.0,0.2,7.938,0.022718041518,heuristic,proposed,0.020135849193,7.815,1.792,2.098,78.097,1.795,inf,inf,0.0
3,online,90.0,10.0,5.0,0.0,0.4,5.97,0.022865004845000002,heuristic,proposed,0.019966925559000002,8.871,1.787,2.078,88.409,1.807,inf,inf,0.0
4,online,90.0,10.0,10.0,0.0,0.2,8.153,0.022059414513,heuristic,proposed,0.019885485026000002,7.463,1.837,2.176,74.618,1.837,inf,inf,0.0
5,online,90.0,10.0,10.0,0.0,0.4,6.486,0.021960277842000005,heuristic,proposed,0.019842306610000002,7.733,1.845,2.183,77.285,1.849,inf,inf,0.0
6,online,90.0,20.0,1.0,0.0,0.2,14.542,1.0276841883673469,heuristic,proposed,0.7426717428816327,5.812244897959184,4.314285714285714,8.3,115.44081632653061,4.390816326530612,inf,inf,0.0
7,online,90.0,20.0,1.0,0.0,0.4,10.07,1.1468978706122448,heuristic,proposed,0.7978243973357143,6.624489795918367,4.4459183673469385,7.642857142857143,130.90714285714284,4.583673469387755,inf,inf,0.0
8,online,90.0,20.0,5.0,0.0,0.2,15.105,0.9521607208163264,heuristic,proposed,0.7163864827989797,5.4622448979591836,4.296938775510204,8.888775510204082,109.05,4.314285714285714,inf,inf,0.0
9,online,90.0,20.0,5.0,0.0,0.4,10.76,0.9894025831632653,heuristic,proposed,0.7355277323653061,5.901020408163265,4.453061224489796,8.873469387755103,117.59183673469387,4.4826530612244895,inf,inf,0.0
10,online,90.0,20.0,10.0,0.0,0.2,16.012,0.9203830783673469,heuristic,proposed,0.713046780082653,5.309183673469388,4.275510204081633,9.107142857142858,106.13367346938776,4.275510204081633,inf,inf,0.0
11,online,90.0,20.0,10.0,0.0,0.4,12.202,0.9214460452040816,heuristic,proposed,0.7133584702938776,5.33265306122449,4.281632653061225,9.105102040816327,106.56938775510204,4.285714285714286,inf,inf,0.0
12,online,180.0,10.0,1.0,0.0,0.2,7.747,0.021527375347,heuristic,proposed,0.016238286004000003,7.212,1.725,1.992,71.747,1.745,inf,inf,0.0
13,online,180.0,10.0,1.0,0.0,0.4,5.648,0.022099880236000003,heuristic,proposed,0.016321893672,8.4,1.682,1.875,83.286,1.725,inf,inf,0.0
14,online,180.0,10.0,5.0,0.0,0.2,7.86,0.020457956723000003,heuristic,proposed,0.015629814843,6.719,1.737,2.04,67.098,1.739,inf,inf,0.0
15,online,180.0,10.0,5.0,0.0,0.4,5.871,0.020525531702000003,heuristic,proposed,0.015853642753,7.402,1.756,2.039,73.814,1.761,inf,inf,0.0
16,online,180.0,10.0,10.0,0.0,0.2,8.226,0.020702584796,heuristic,proposed,0.0157678892,6.081,1.722,2.042,60.798,1.722,inf,inf,0.0
17,online,180.0,10.0,10.0,0.0,0.4,6.457,0.020722254954,heuristic,proposed,0.015780234591999998,6.196,1.723,2.043,61.934,1.723,inf,inf,0.0
18,online,180.0,20.0,1.0,0.0,0.2,13.724,1.9718401707142856,heuristic,proposed,1.2901699854306123,5.701020408163266,5.142857142857143,13.408163265306122,112.89387755102041,5.330612244897959,inf,0.7512610995110537,0.0
19,online,180.0,20.0,1.0,0.0,0.4,9.004,2.290926081122449,heuristic,proposed,1.4404862333663264,6.705102040816326,5.541836734693877,12.203061224489796,131.69387755102042,5.881632653061224,inf,inf,0.0
20,online,180.0,20.0,5.0,0.0,0.2,14.192,1.7884142491836734,heuristic,proposed,1.1884072323908164,5.277551020408163,4.858163265306122,13.926530612244898,105.00204081632653,4.90204081632653,inf,0.5380472739066489,0.0
21,online,180.0,20.0,5.0,0.0,0.4,9.718,1.8865470295918367,heuristic,proposed,1.2331795725214285,5.686734693877551,5.039795918367347,13.626530612244897,112.4795918367347,5.133673469387755,inf,inf,0.0
22,online,180.0,20.0,10.0,0.0,0.2,15.378,1.6955235398979593,heuristic,proposed,1.1369490337438775,4.960204081632653,4.610204081632653,13.874489795918368,99.09183673469387,4.610204081632653,inf,0.1867277543058793,0.0
23,online,180.0,20.0,10.0,0.0,0.4,11.478,1.696077529489796,heuristic,proposed,1.126797386889796,4.9714285714285715,4.610204081632653,13.855102040816327,99.31224489795919,4.610204081632653,inf,inf,0.0
24,online,270.0,10.0,1.0,0.0,0.2,7.247,0.6473997391903226,heuristic,proposed,0.5007850790634408,11.120430107526882,7.670967741935484,13.638709677419355,109.37956989247311,7.829032258064516,inf,inf,0.0
25,online,270.0,10.0,1.0,0.0,0.4,4.813,0.7198067442043011,heuristic,proposed,0.5515108992688172,13.002150537634408,8.053763440860216,12.687096774193549,130.24301075268818,8.41720430107527,inf,inf,0.0
26,online,270.0,10.0,5.0,0.0,0.2,7.039,0.5939265345763441,heuristic,proposed,0.46311587318387104,10.748387096774193,7.476344086021506,13.790322580645162,104.88387096774194,7.626881720430108,inf,inf,0.0
27,online,270.0,10.0,5.0,0.0,0.4,4.722,0.6084881323903226,heuristic,proposed,0.4880001325612903,12.478494623655914,7.7827956989247316,13.411827956989248,120.50322580645161,8.058064516129033,inf,inf,0.0
28,online,270.0,10.0,10.0,0.0,0.2,7.295,0.5572078363784946,heuristic,proposed,0.4403644000989247,10.208602150537635,7.189247311827957,14.002150537634408,100.56881720430107,7.259139784946236,inf,inf,0.0
29,online,270.0,10.0,10.0,0.0,0.4,5.244,0.5604175080021505,heuristic,proposed,0.4445873488698925,11.065591397849463,7.313978494623656,13.861290322580645,107.94408602150537,7.435483870967742,inf,inf,0.0
30,online,270.0,20.0,1.0,0.0,0.2,10.614,16.937894679802955,heuristic,proposed,10.268483162561578,7.266009852216749,7.4088669950738915,42.14942528735632,153.8456486042693,8.111658456486042,6.193780804307145,1.280925339276443,0.0
31,online,270.0,20.0,1.0,0.0,0.4,6.233,21.020871376884426,heuristic,proposed,12.201352268006701,8.695142378559463,8.737018425460636,38.19597989949749,199.9212730318258,9.894472361809045,4.760168759085919,1.1709152208372244,0.0033500837520938024
32,online,270.0,20.0,5.0,0.0,0.2,10.5,15.498611144480519,heuristic,proposed,9.452965387987014,7.2191558441558445,7.25,45.839285714285715,144.87012987012986,7.50487012987013,6.401291727201202,1.311711488091659,0.0
33,online,270.0,20.0,5.0,0.0,0.4,6.325,17.249738465346535,heuristic,proposed,9.967202402640265,8.009900990099009,7.955445544554456,43.272277227722775,168.54620462046205,8.533003300330034,5.810290187161039,1.3633072257451304,0.0
34,online,270.0,20.0,10.0,0.0,0.2,11.973,14.016507556270097,heuristic,proposed,8.74982233762058,6.678456591639871,6.672025723472669,45.81832797427653,132.71543408360128,6.707395498392283,6.606807082695882,0.9582014875990991,0.0
35,online,270.0,20.0,10.0,0.0,0.4,7.916,14.441877809983897,heuristic,proposed,8.659867872785828,6.85024154589372,6.848631239935588,45.30756843800322,138.53301127214172,6.940418679549114,6.102303937362304,0.9873210971781629,0.0
